repo_full_name,user_id,action,reference,occurred_at
openai/openai-agents-python,Shivam-Bahuguna-Seatrium,issue_opened,https://github.com/openai/openai-agents-python/issues/2266,2026-01-07T07:56:09Z
openai/openai-agents-python,Shivam-Bahuguna-Seatrium,labeled,https://github.com/openai/openai-agents-python/issues/2266,2026-01-07T07:56:10Z
openai/openai-agents-python,Shivam-Bahuguna-Seatrium,commented,https://github.com/openai/openai-agents-python/issues/2266,2026-01-07T08:33:04Z
openai/openai-agents-python,Shivam-Bahuguna-Seatrium,commented,https://github.com/openai/openai-agents-python/issues/2266,2026-01-12T00:09:02Z
openai/openai-agents-python,TanMan-CAL,issue_opened,https://github.com/openai/openai-agents-python/issues/2335,2026-01-19T21:15:24Z
openai/openai-agents-python,TanMan-CAL,labeled,https://github.com/openai/openai-agents-python/issues/2335,2026-01-19T21:15:25Z
openai/openai-agents-python,TasmeerJamali,pr_opened,https://github.com/openai/openai-agents-python/pull/2218,2025-12-20T14:00:24Z
openai/openai-agents-python,Thebinary110,commented,https://github.com/openai/openai-agents-python/issues/2155,2026-01-11T12:35:47Z
openai/openai-agents-python,Vaibhav21-motors,commented,https://github.com/openai/openai-agents-python/issues/1609,2026-01-16T08:09:11Z
openai/openai-agents-python,Vaibhav21-motors,commented,https://github.com/openai/openai-agents-python/issues/1609,2026-01-16T09:05:42Z
openai/openai-agents-python,ZILECAO,commented,https://github.com/openai/openai-agents-python/issues/2109,2026-01-07T00:53:39Z
openai/openai-agents-python,aligokalppeker,issue_opened,https://github.com/openai/openai-agents-python/issues/2204,2025-12-18T18:22:08Z
openai/openai-agents-python,aligokalppeker,labeled,https://github.com/openai/openai-agents-python/issues/2204,2025-12-18T18:22:08Z
openai/openai-agents-python,aligokalppeker,commented,https://github.com/openai/openai-agents-python/issues/2204,2025-12-24T19:16:27Z
openai/openai-agents-python,aligokalppeker,pr_opened,https://github.com/openai/openai-agents-python/pull/2243,2025-12-28T17:47:34Z
openai/openai-agents-python,aligokalppeker,commented,https://github.com/openai/openai-agents-python/pull/2243,2026-01-05T19:12:18Z
openai/openai-agents-python,aligokalppeker,commented,https://github.com/openai/openai-agents-python/pull/2243,2026-01-06T05:53:44Z
openai/openai-agents-python,atpug22,issue_opened,https://github.com/openai/openai-agents-python/issues/2246,2025-12-30T12:25:13Z
openai/openai-agents-python,ayoajuwon1,issue_opened,https://github.com/openai/openai-agents-python/issues/2252,2026-01-01T22:24:46Z
openai/openai-agents-python,ayoajuwon1,labeled,https://github.com/openai/openai-agents-python/issues/2252,2026-01-01T22:24:47Z
openai/openai-agents-python,ayoajuwon1,closed,https://github.com/openai/openai-agents-python/issues/2252,2026-01-01T22:31:34Z
